Item_ID	Sentence	PP1	PP1Length	PP2	PP2Length	PNP1cat	PNP2cat	Speaker_ID	Speaker_sex	Speaker_birthdate	Speaker_dialect	Speaker_education	Speaker_payment	TURNinCONV	TOPinCONV	Speaker_AB	Conversation_ID	Conversation_topic_ID	Conversation_topic	Conversation_transcription-difficulty	Conversation_topic-variability	Conversation_naturalness
7342:22	i, i lived in abilene for a little while, and, uh, worked in the abilene plant,	in abilene	2	for a little while	4	fullnp	fullnp	1061	 "MALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	69	140	A	2072	364	"HOBBIES AND CRAFTS"	2	1	1
7401:8	and that's about it down here,	about it	2	down here	2	pronoun		1061	 "MALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	89	180	A	2072	364	"HOBBIES AND CRAFTS"	2	1	1
7546:22	you know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing.	in the first place	4	like the no new taxes thing	6	fullnp	fullnp	1174	 "MALE"	 1962	 "MIXED"	 2	 "CASH"	37	77	B	2073	355	"ELECTIONS AND VOTING"	2	2	2
7646:23	do, do you work for t i in any way?	for t i	3	in any way	3	fullnp	fullnp	1047	 "MALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	74	141	A	2073	355	"ELECTIONS AND VOTING"	2	2	2
7837:33	sometimes when i, if you go out there during the day, you just fry under the sun.	out there	2	during the day	3			1027	 "FEMALE"	 1961	 "NORTH MIDLAND"	 2	 "CASH"	38	64	B	2078	365	"BASEBALL"	2	4	2
8271:29	see i do that *-1 to make myself go to sleep at night.	to sleep	2	at night	2			1027	 "FEMALE"	 1961	 "NORTH MIDLAND"	 2	 "CASH"	212	324	B	2078	365	"BASEBALL"	2	4	2
8931:49	and it's just that it doesn't keep your feet quite as warm because you do it in strips like that	in strips	2	like that	2	fullnp	fullnp	1008	 "FEMALE"	 1939	 "MIXED"	 1	 "GIFT"	22	52	B	2093	364	"HOBBIES AND CRAFTS"	1	2	3
9111:77	and i can remember very etched, * etched clearly in my mind, uh, *-2 flying and coming up above the smog layer at about three thousand feet and looking back down and, and really being unbelieving at, what *t*-3 looked like a, uh,	up above the smog layer	5	at about three thousand feet	5			1056	 "MALE"	 1948	 "WESTERN"	 3	 "CASH"	8	15	B	2094	302	"AIR POLLUTION"	1	1	1
9154:36	but they said that, that it really caused so much smog *ich*-2 over, uh, the grand canyon in the winter months that they couldn't do the, uh, piloting, uh, you know, the helicopter trips and that sort of thing. which *t*-1 would be horrible, because the, there's nothing,	over, uh, the grand canyon	5	in the winter months	4	fullnp	fullnp	1072	 "FEMALE"	 1941	 "SOUTH MIDLAND"	 2	 "CASH"	25	41	A	2094	302	"AIR POLLUTION"	1	1	1
9292:6	i lived in this area for about twenty-five years	in this area	3	for about twenty-five years	4	fullnp	fullnp	1056	 "MALE"	 1948	 "WESTERN"	 3	 "CASH"	74	129	B	2094	302	"AIR POLLUTION"	1	1	1
9365:8	and it was, you know, in the seventies out here	in the seventies	3	out here	2	fullnp	fullnp	1221	 "MALE"	 1942	 "NYC"	 3	 "GIFT"	16	25	B	2095	313	"WEATHER CLIMATE"	1	1	1
9599:20	i mean i could just sit mindlessly in front of a t v set for hours.	in front of a t v set	7	for hours	2	fullnp	fullnp	1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	35	48	A	2102	339	"TV PROGRAMS"	3	1	1
9829:47	i, i, i ended up *-1 watching a lot of these things on, you know, repeats in the afternoons or something.	on, you know, repeats	4	in the afternoons	3	fullnp	fullnp	1138	 "FEMALE"	 1961	 "SOUTH MIDLAND"	 2	 "CASH"	111	204	A	2102	339	"TV PROGRAMS"	3	1	1
10041:26	but last year i just figured 0 they was under a lot of pressure because of all the publicity and everything,	under a lot of pressure	5	because of all the publicity and everything	7	fullnp	fullnp	1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	30	57	A	2105	365	"BASEBALL"	2	1	1
10320:29	we, uh, we've gone through the same things with ours,	through the same things	4	with ours	2	fullnp	fullnp	1135	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	18	29	B	2107	351	"PETS"	1	1	1
10337:125	and, and then when we go to sleep *t*-2 at night, you know, it's like my husband and i have *-3 to try *-4 to get any space on the bed because we have all four of them up there with us.	up there	2	with us	2		pronoun	1135	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	24	40	B	2107	351	"PETS"	1	1	1
10730:17	and it had this man sitting on a couch with his date	on a couch	3	with his date	3	fullnp	fullnp	1135	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	162	294	B	2107	351	"PETS"	1	1	1
10883:30	it *exp*-1 must have been great * just being with him on, on a daily basis and seeing how he prepares for his, for his lines *t*-2 and all that stuff.	with him	2	on a daily basis	4	pronoun		1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	31	56	B	2109	348	"MOVIES"	1	1	1
10972:121	and then, you know, uh, for, for, for no real, you know, direct reason, i guess 0 *t*-1, uh, we, we get into, uh, uh, a really good relationship for a while and then, you know, back and forth	into, uh, uh, a really good relationship	7	for a while	3	fullnp	fullnp	1076	 "MALE"	 1958	 "SOUTH MIDLAND"	 3	 "CASH"	66	111	A	2109	348	"MOVIES"	1	1	1
11398:8	and we had, uh, a write up in our paper *ich*-1 *ich*-2, uh, this last time at work about, um,	at work	2	about, um	2	fullnp	fullnp	1055	 "FEMALE"	 1965	 "SOUTH MIDLAND"	 2	 "CASH"	119	219	A	2111	335	"RECYCLING"	1	1	1
11872:6	people get up in the morning in that neighborhood	in the morning	3	in that neighborhood	3	fullnp	fullnp	1121	 "MALE"	 1937	 "NEW ENGLAND"	 2	 "GIFT"	23	49	A	2121	302	"AIR POLLUTION"	2	2	1
11881:61	i mean, i really think that if the e p a had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,	in there	2	with a few phosphorous grenades	5			1121	 "MALE"	 1937	 "NEW ENGLAND"	 2	 "GIFT"	25	56	A	2121	302	"AIR POLLUTION"	2	2	1
12340:45	* seemed that every other time 0 a president *ich*-2 tried *-1 to get support for an action like, uh, uh, president carter and his thing with the, the hostage crisis *t*-3, and he always did it through rhetoric.	for an action	3	like, uh, uh, president carter and his thing with the, the hostage crisis	13	fullnp	fullnp	1083	 "FEMALE"	 1962	 "SOUTHERN"	 2	 "CASH"	59	110	A	2124	306	"RECIPES/FOOD/COOKING"	1	1	1
12409:66	and, and what, what do you do *t*-2 with the people that *t*-1 are over there in the mean time.	over there	2	in the mean time	4			1128	 "MALE"	 1933	 "SOUTH MIDLAND"	 2	 "CASH"	30	38	A	2131	308	"MUSIC"	4	1	1
12454:90	and the israelis, uh, and not the israelis but the arabs all of a sudden are, uh, are cheering for baker on his drive for, * to reconcile relations with the israelis,	for baker	2	on his drive	3	fullnp	fullnp	1128	 "MALE"	 1933	 "SOUTH MIDLAND"	 2	 "CASH"	46	65	A	2131	308	"MUSIC"	4	1	1
12495:16	i think 0 that is a, a positive thing for them after, um, uh, thousands of years,	for them	2	after, um, uh, thousands of years	6	pronoun		1126	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	65	88	B	2131	308	"MUSIC"	4	1	1
12535:67	i, i'm, i'm looking forward to *-1 seeing what *t*-2 happens over there in the next couple of months,	over there	2	in the next couple of months	6			1126	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	79	115	B	2131	308	"MUSIC"	4	1	1
13015:7	i took them up here to collectors rector-, records and was able *-1 to get a little money for them	up here	2	to collectors rector-, records	4			1039	 "MALE"	 1943	 "SOUTHERN"	 3	 "GIFT"	23	56	A	2137	327	"UNIVERSAL PBLIC SERV"	2	2	2
13231:91	in, in israel, the, even the women are, are required *-1 to, to be in the military for a certain period of time.	in the military	3	for a certain period of time	6	fullnp	fullnp	1101	 "MALE"	 1939	 "SOUTH MIDLAND"	 3	 "GIFT"	68	104	B	2139	336	"RIGHT TO PRIVACY"	1	2	1
13342:25	but, when you have *-1 to send that back in the mail with your name on it, your salary information *t*-2, i, i just have a real hard time * doing that,	in the mail	3	with your name on it, your salary information	8	fullnp	fullnp	1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	111	172	A	2139	336	"RIGHT TO PRIVACY"	1	2	1
13662:6	* wonder about them in what way?	about them	2	in what way	3	pronoun		1126	 "FEMALE"	 1963	 "SOUTH MIDLAND"	 2	 "GIFT"	5	9	B	2151	327	"UNIVERSAL PBLIC SERV"	1	1	4
13749:59	maybe we'll see a growth in that where someone makes a career out of, say, *-1 taking care of five or six children as opposed to day care *t*-2.	of five or six children	5	as opposed to day care	5	fullnp	fullnp	1010	 "MALE"	 1932	 "NEW ENGLAND"	 1	 "GIFT"	36	65	A	2151	327	"UNIVERSAL PBLIC SERV"	1	1	4
13998:6	we talked about this for a few minutes,	about this	2	for a few minutes	4	fullnp	fullnp	1002	 "FEMALE"	 1963	 "SOUTHERN"	 2	 "GIFT"	71	135	A	2154	349	"NEWS MEDIA"	2	2	2
14035:19	so i try *-1 to listen to the radio in the morning and, and try *-1 to catch one of the morning talk shows,	to the radio	3	in the morning	3	fullnp	fullnp	1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	3	4	A	2157	307	"FOOTBALL"	2	1	3
14036:24	and then i usually end up *-1 flipping through c n n and headline news during the evening.	through c n n and headline news	7	during the evening	3	fullnp	fullnp	1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	3	4	A	2157	307	"FOOTBALL"	2	1	3
14103:53	so, i guess 0 we have the, the same reaction whether we came about it from the same place or not.	about it	2	from the same place	4	pronoun		1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	25	50	A	2157	307	"FOOTBALL"	2	1	3
14154:26	uh, i-, i spent a number of years in the service as an intelligence analyst,	in the service	3	as an intelligence analyst	4	fullnp	fullnp	1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	42	84	B	2157	307	"FOOTBALL"	2	1	3
14193:25	uh, here's *t*-2 what *t*-1 went on in asia over the past week,	in asia	2	over the past week	4	fullnp	fullnp	1018	 "FEMALE"	 1962	 "SOUTH MIDLAND"	 3	 "GIFT"	51	114	A	2157	307	"FOOTBALL"	2	1	3
14228:26	because, you know, we don't listen to the radio at work at all.	to the radio	3	at work	2	fullnp	fullnp	1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	62	138	B	2157	307	"FOOTBALL"	2	1	3
14457:22	actually i think 0 we have talked about football for five minutes.	about football	2	for five minutes	3	fullnp	fullnp	1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	40	68	B	2160	312	"CRIME"	2	1	1
14494:16	i think 0 i was into the cardinals for a little bit	into the cardinals	3	for a little bit	4	fullnp	fullnp	1123	 "FEMALE"	 1956	 "SOUTH MIDLAND"	 3	 "CASH"	50	95	B	2160	312	"CRIME"	2	1	1
14546:14	and now they're sectioning it off to like from the, from one twenty yard line to the other one,	from one twenty yard line	5	to the other one	4	fullnp	fullnp	1167	 "MALE"	 1969	 "NORTHERN"	 3	 "CASH"	67	129	A	2160	312	"CRIME"	2	1	1
14664:119	well, see the problem is, is that, um, what *t*-1 happens is as, that you're, uh, you know, as you go from the country to a city, crime always increases, right?	from the country	3	to a city	3	fullnp	fullnp	1129	 "FEMALE"	 1942	 "MIXED"	 2	 "GIFT"	14	20	B	2163	304	"CREDIT CARD USE"	1	1	2
14712:15	and, uh, somebody walks in there with a gun.	in there	2	with a gun	3			1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	35	49	A	2163	304	"CREDIT CARD USE"	1	1	2
14739:56	it's like, in, uh, nineteen eighty-eight, nineteen eighty-nine, the local, state, and federal governments spent the least amount of money on crime in america,	on crime	2	in america	2	fullnp	fullnp	1129	 "FEMALE"	 1942	 "MIXED"	 2	 "GIFT"	46	65	B	2163	304	"CREDIT CARD USE"	1	1	2
14741:93	i mean it's like, compared to, you know, compared to, weapons or stuff like that, i mean, you're spending nothing on, on crime in the country itself.	on crime	2	in the country	3	fullnp	fullnp	1129	 "FEMALE"	 1942	 "MIXED"	 2	 "GIFT"	46	66	B	2163	304	"CREDIT CARD USE"	1	1	2
14794:22	i was, i was at a, at a party on saturday,	at a party	3	on saturday	2	fullnp	fullnp	1000	 "FEMALE"	 1954	 "SOUTH MIDLAND"	 1	 "CASH"	67	99	A	2163	304	"CREDIT CARD USE"	1	1	2
15060:44	and a lot of students from baylor go and, and serve as missionaries during the summer.	as missionaries	2	during the summer	3	fullnp	fullnp	1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	90	152	B	2171	327	"UNIVERSAL PBLIC SERV"	1	3	1
15096:8	and i lived with dana in school.	with dana	2	in school	2	fullnp	fullnp	1024	 "MALE"	 1964	 "NORTH MIDLAND"	 2	 "GIFT"	102	176	B	2171	327	"UNIVERSAL PBLIC SERV"	1	3	1
15160:16	* have *-1 to live in a shack with no air conditioning and no medicine and no anything.	in a shack	3	with no air conditioning and no medicine and no anything	10	fullnp	fullnp	1055	 "FEMALE"	 1965	 "SOUTH MIDLAND"	 2	 "CASH"	119	223	A	2171	327	"UNIVERSAL PBLIC SERV"	1	3	1
15263:59	and i guess 0 they, they keep you on the same topic until you actually talk to somebody about it.	to somebody	2	about it	2	fullnp	pronoun	1013	 "FEMALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	31	60	A	2177	348	"MOVIES"	2	1	1
15298:14	um, i've talked about camping with someone.	about camping	2	with someone	2	fullnp	fullnp	1013	 "FEMALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	47	80	A	2177	348	"MOVIES"	2	1	1
15311:8	and i talked to someone about the, uh, the, uh, education system.	to someone	2	about the, uh, the, uh, education system	7	fullnp	fullnp	1013	 "FEMALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	53	86	A	2177	348	"MOVIES"	2	1	1
15314:8	and i talked to somebody about credit card usage.	to somebody	2	about credit card usage	4	fullnp	fullnp	1057	 "FEMALE"	 1963	 "NORTH MIDLAND"	 2	 "CASH"	54	88	B	2177	348	"MOVIES"	2	1	1
15374:16	i had *-1 to talk to someone about hobbies,	to someone	2	about hobbies	2	fullnp	fullnp	1013	 "FEMALE"	 1957	 "SOUTH MIDLAND"	 2	 "GIFT"	75	127	A	2177	348	"MOVIES"	2	1	1
15604:46	and, you know, and, and she feel madly in love with this writer.	madly in love	3	with this writer	3			1091	 "FEMALE"	 1942	 "SOUTH MIDLAND"	 1	 "GIFT"	54	78	B	2184	354	"DRUG TESTING"	2	1	1
15759:23	there was one guy that we tested *t*-1 for preemployment for drugs who *t*-2 absolutely swore up and down that it showed that he was using amphetamines,	for preemployment	2	for drugs	2	fullnp	fullnp	1152	 "FEMALE"	 1947	 "SOUTH MIDLAND"	 2	 "GIFT"	125	163	A	2184	354	"DRUG TESTING"	2	1	1
16413:15	and if it would sit in the refrigerator for a day, where you cut the pie *t*-1, it would soak into the pie shell	in the refrigerator	3	for a day	3	fullnp	fullnp	1071	 "FEMALE"	 1951	 "SOUTH MIDLAND"	 3	 "GIFT"	43	83	A	2220	308	"MUSIC"	2	3	2
16841:18	are you going *-1 to go to east texas for that?	to east texas	3	for that	2	fullnp	fullnp	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	44	71	B	2226	311	"BOOKS AND LITERATURE"	2	2	1
16884:21	and he's going *-1 to testify for the state against her so he'll have his sentence reduced *-2.	for the state	3	against her	2	fullnp	pronoun	1106	 "FEMALE"	 1964	 "SOUTH MIDLAND"	 2	 "GIFT"	62	95	B	2226	311	"BOOKS AND LITERATURE"	2	2	1
